Subject,Day,Task,Trial,RMS_mean,RMS_std,Env_mean,BurstDur_mean_s,PeakFreq_mean_Hz,CoContrIndex,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,CoContr_FlexExt,CoContr_BicTri,RMS_extractor,MNF,MDF,PKF,IEMG,VAR
PT_09,4,Tapes,4,199.07584995878284,75.05663569721966,185.7585555920371,43.357,0.6646728515625,0.7047782641465377,158.69481297142377,230.17025428439769,150.43751404136555,267.1108765945442,224.89325068807187,0.7047782641465377,0.6245666971831517,199.07584995878284,0.979232651890823,0.7863044738769531,0.5328655242919922,22291026.671044454,5952.454049705603
PT_09,4,Tapes,5,196.18914682845883,74.60488096557208,180.07138119207082,49.3167734375,0.68115234375,0.7820414373076808,185.06738805323116,209.6616554001561,148.4404575214723,251.20023231219795,207.51190826314294,0.7820414373076808,0.656217764960639,196.18914682845883,0.9661155917938735,0.8006095886230469,0.4489421844482422,21610085.263890326,8079.368724413047
PT_09,4,Tapes_standing,1,224.12258908245713,56.44355916180406,209.4529561745712,53.7219453125,0.72265625,0.8227892741715659,198.8510810725342,231.61732455588793,192.33715807114746,284.482076695669,251.4389861933169,0.8227892741715659,0.7171105705215376,224.12258908245713,0.9910836235317932,0.8447170257568359,0.07987022399902344,25134354.740948543,6936.80139018374
PT_09,4,Tapes_standing,2,238.07940041817795,60.92027774373888,223.2842540326924,54.4115546875,1.083984375,0.8212874346895898,208.5461051145559,249.86578459006583,202.04180904569978,298.5830369375198,271.5627010039555,0.8212874346895898,0.7015326918578688,238.07940041817795,1.1125438084684744,0.9670257568359375,0.5056858062744141,26794110.483923085,7479.565594051472
PT_09,4,Tapes_standing,3,239.4335544812431,56.91219897072313,222.94573534074846,49.4584296875,1.158447265625,0.8090759726045875,212.7871796646648,248.37538007670713,206.50521179669195,300.64565454316727,267.4492041936529,0.8090759726045875,0.7201578871307002,239.4335544812431,1.0328329862087893,0.9202957153320312,0.07128715515136719,26753488.24088981,8194.314508023126
PT_09,4,Tapes_standing,4,217.65646149974543,62.61408758196855,204.0211935765788,51.7300625,1.231689453125,0.8158915522518468,188.5531160532911,227.21401959063485,179.0627564516025,280.2505150702331,256.9309870514934,0.8158915522518468,0.6824800498396821,217.65646149974543,1.1754157736362951,1.0769367218017578,0.507354736328125,24482543.229189456,6786.408121367778
PT_09,4,Tapes_standing,5,220.08542260029364,60.699835218362495,206.50274535298865,54.0936171875,0.9515380859375,0.8255256253121102,198.232971770578,230.5194054611543,178.7536170980145,278.378780088273,249.4813262956567,0.8255256253121102,0.6859977501419497,220.08542260029364,1.0617151606218707,0.919342041015625,0.14138221740722656,24780329.44235864,6511.779476611324
PT_09,5,Tapes,2,244.9649648163216,64.50754284022601,227.56329993518085,51.084390625000005,1.1700439453125,0.7949092919620317,213.33075785053245,261.7529428969185,208.6149078781365,305.7888622251969,272.0701678064065,0.7949092919620317,0.7337740470043171,244.9649648163216,1.0771525293349673,0.9293556213378906,0.7228851318359375,27307595.992221706,9147.887779904582
PT_09,5,Tapes,3,211.42547746722562,55.409545339104284,196.24597288151853,51.09357031249999,1.0931396484375,0.815978012437793,195.79053903220023,217.45432924699864,183.23217118618936,258.19444729976806,228.56016203055532,0.815978012437793,0.756187468305326,211.42547746722562,1.1557107721547435,1.024007797241211,0.5586147308349609,23549516.745782223,6963.8243034319585
PT_09,5,Tapes,4,229.56114386968045,56.64310483832847,211.77397241035305,46.7613125,1.0675048828125,0.814697407889788,205.9736321608067,236.77552520485622,198.54962805498442,290.4411200647288,252.0379847374966,0.814697407889788,0.7471301539919036,229.56114386968045,1.0780085457042246,0.9253025054931641,0.46539306640625,25412876.689242367,8653.371569530795
PT_09,5,Tapes,5,232.53555513168013,58.27765227575798,216.47745568477228,43.9871875,0.6591796875,0.7951862537353597,207.2484352068905,247.22241105813757,195.32507191335617,284.7335788378825,260.0038502492109,0.7951862537353597,0.7207126580605077,232.53555513168013,1.139126439217379,0.9794235229492188,0.8449554443359375,25977294.682172675,7832.380487614686
PT_09,5,Tapes_standing,1,210.60497543346193,68.63449284440021,195.71547425681834,47.5321640625,0.8355712890625,0.7986196741968139,179.4361345170153,210.84451499584102,188.41920250855028,278.7433985899393,245.33613971100397,0.7986196741968139,0.7230632874221177,210.60497543346193,0.952079982752746,0.79345703125,0.3294944763183594,23485856.9108182,6978.768651229242
