Subject,Day,Task,Trial,RMS_mean,MNF_mean,MDF_mean,PKF_mean,IEMG_mean,VAR_mean,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,MDF_flexors,MDF_extensors,MDF_bicep,MDF_lat_tri,MDF_long_tri,CoContr_FlexExt,CoContr_BicTri
PT_07,2,Tapes_standing,3,114.57714399705948,104.19207487735078,110.82669282370308,59.7195625,0.635986328125,0.39942559914774656,67.62022943291811,169.93695745245844,11.135412876888589,152.82978888063798,212.58057328840778,0.39942559914774656,0.06115499935994522,147.61342629547136,119.65732001162928,98.21963310241699,90.24262428283691,13326429.449925773,39379.871930154775
PT_07,2,Tapes_standing,4,127.01522740180154,115.14591679113751,121.74047648744924,58.65290625,0.0604248046875,0.4199567533271953,78.02474907062536,185.13914551297202,12.45765538542841,167.4483959758371,237.86817734733856,0.4199567533271953,0.06112803185573383,163.3183003332109,115.34608546957813,95.13258934020996,90.41595458984375,14636075.584183613,48233.07222587191
PT_07,2,Tapes_standing,5,121.64343978659149,110.45569162811792,117.65454310446398,59.729992187499995,0.7550048828125,0.4141737523663149,73.53487178684476,179.7375364779975,11.897129835808348,162.0106489411504,223.42825600197392,0.4141737523663149,0.06187613961305655,157.07795042131133,119.66542661639271,98.41299057006836,96.19951248168945,14149872.279330637,44573.71911532116
PT_07,3,Tapes,1,154.7658698903897,58.42374158071142,147.02217947237872,56.8150859375,0.2880859375,0.7643710227692185,152.84733397634648,133.441480954945,137.79692579284955,212.56645190204068,174.71528493639659,0.7643710227692185,0.6934697860889171,204.07592378202875,97.50002028207352,76.32160186767578,38.24353218078613,17678217.41683329,47384.34951932495
PT_07,3,Tapes,2,180.4542087742563,65.14747561591282,171.3361675868947,58.378671875,0.181884765625,0.7774314430580729,166.48068931813893,164.297994788969,160.18002924470434,234.7131843564971,224.3984027295042,0.7774314430580729,0.6857141725683915,238.12441309891972,99.99104698424803,79.09464836120605,44.61169242858887,20596101.470960572,63572.50516748851
PT_07,3,Tapes,3,185.57739604047194,63.63807458363856,176.17355868485532,57.5608671875,0.240478515625,0.7716217720847084,177.69036686573764,163.90047283496287,170.403850914765,239.91668240664,220.5173202184119,0.7716217720847084,0.7236604410327645,244.52054707328546,98.76476367930329,77.65960693359375,38.11454772949219,21201476.564257614,66462.6223692768
PT_07,3,Tapes,4,143.8561358800638,52.79678403860742,136.55276210011863,57.8996953125,0.142822265625,0.7904471853842017,132.99787636292382,126.9086310536168,133.38198859250642,188.81655162222188,177.16991084231233,0.7904471853842017,0.7074914934377029,188.65175493764175,98.42533180836199,76.61938667297363,51.03445053100586,16416767.794302668,40125.68857785813
PT_07,3,Tapes,5,122.44176092176417,45.14111431730591,115.55539575105855,58.299437499999996,0.13671875,0.7465236585897442,103.63972153349546,116.70721448531077,103.80259391913364,158.35254291723507,169.6970475358638,0.7465236585897442,0.6210913208308373,161.2257003262289,93.64500622519836,72.5400447845459,53.055763244628906,13885348.42237202,29291.063139247468
PT_07,3,Tapes_standing,1,203.10988078081127,84.1530400651479,192.35022164673956,57.50415625,0.498046875,0.7860272283899051,175.27789517055896,187.6945260156984,179.6842972553328,277.60120358827584,261.0634491061361,0.7860272283899051,0.666171005314568,266.0166306961471,99.48577559460827,78.19485664367676,40.369272232055664,23117466.24189551,82144.87005066453
PT_07,3,Tapes_standing,2,200.40990134326609,84.09199497132478,190.58920245149898,57.74960937499999,1.0296630859375,0.7879993520844198,174.02891229304413,179.7743260228221,188.65433975344868,273.21967553502554,251.02073937023096,0.7879993520844198,0.7097589897067523,262.9632051535809,96.58676384305156,75.41418075561523,39.64996337890625,22932299.037717987,80769.23790013594
